Input Chord,Enkeli Match,Custom Parse,Tonal.js Result
Cm,0·3·7,,0·3·7
Cmaj,0·4·7,,0·4·7
CM,0·4·7,,0·4·7
Cmaj7,0·4·7,,0·4·7·11
CM7,0·4·7,,0·4·7·11
Cmaj9,0·4·7,,0·4·7·11·14
Cmaj11,0·4·7,,
Cmaj13,0·4·7,,0·4·7·11·14·21
Cmaj7#11,0·4·7,,0·4·7·11·18
Cmaj9#11,0·4·7,,0·4·7·11·14·18
Cmaj13#11,0·4·7·11·14·18·21,,0·4·7·11·14·18·21
CM7#5,0·4·7,,
CM7b9,0·4·7·11·13,,0·4·7·11·13
Cm,0·3·7,,0·3·7
Cmin,0·3·7,,0·3·7
Cm7,0·3·7·10,,0·3·7·10
Cm9,0·3·7·10·14,,0·3·7·10·14
Cm11,0·3·7·10·14·17,,0·3·7·10·14·17
Cm13,0·3·7·10·14·17·21,,0·3·7·10·14·21
Cm7b5,0·4·6·11,,0·3·6·10
Cm9b5,0·3·6·10·14,,0·2·3·6·10
CmM7,0·4·7,,0·3·7·11
Cm7#5,0·3·8·10,,0·3·8·10
Cm7b9,0·3·7·10·13,,
C7,0·4·7·10,,0·4·7·10
C9,0·4·7·10·14,,0·4·7·10·14
C11,0·4·7·10·14·17,,0·7·10·14·17
C13,0·4·7·10·14·17·21,,0·4·7·10·14·21
C7sus4,0·5·7·10,,0·5·7·10
C7#5,0·4·8·10,,0·4·8·10
C7b9,0·4·7·10·13,,0·4·7·10·13
C7#9,0·4·7·10·15,,0·4·7·10·15
C7#11,0·4·7·10·18,,0·4·7·10·18
C7b13,0·4·7·10·20,,0·4·10·20
C7b9#11,0·4·7·10·13·18,,0·4·7·10·13·18
C7#9b13,0·4·7·10·15·20,,0·4·7·10·15·20
C13#11,0·4·7·10·14·18·21,,0·4·7·10·14·18·21
Csus,0·5·7,,0·5·7
Csus4,0·5·7,,0·5·7
Csus2,0·2·7,,0·2·7
Csus4b9,0·5·7,,
Cadd9,0·4·7·14,,0·4·7·14
CM7add13,0·4·7,,0·4·7·9·11·14
Cmadd9,0·3·7·14,,0·3·7·14
C7add13,0·4·7·9·10,,0·4·7·10·21
Cdim,0·3·6,,0·3·6
Cdim7,🤷 ,,0·3·6·
Caug,0·4·8,,0·4·8
C+,0·4·8,,0·4·8
C°,0·3·6,,0·3·6
C/E,0·4·7,,4·7·12
Cmaj7/E,0·4·7,,4·7·11·12
Cm7/Eb,0·4·7·11,,3·7·10·12
C7/Bb,0·4·7,,10·12·16·19
Csus4/G,0·5·7,,7·12·17
Cadd9/G,0·4·7·14,,7·14·12·16
CM7/B,0·4·7,,11·12·16·19
Bb,0·4·7,,0·4·7
Bbmaj7,0·4·7,,0·4·7·11
Bbm7,0·3·7·10,,0·3·7·10
Bb7#11,0·4·7·10·18,,0·4·7·10·18
Bb/D,0·4·7,,4·7·12
Bbsus4/Ab,0·5·7,,·0·5·7
